,0
0,Authenticated_Provenance
1,AI-Assisted_Design
2,DNA_Computing_and_Storage
3,Low-Cost_Single-Board_Computers_at_the_Edge
4,Self-Supervised_Learning
5,Health_Passport
6,2-Way_Brain_Machine_Interface_(BMI)
7,Generative_Adversarial_Networks
8,Biodegradable_Sensors
9,Differential_Privacy
10,Private_5G
11,Social_Data
12,Adaptive_ML
13,Composite_AI
14,Generative_AI
15,Pacakged_Business_Capabilities
16,Citizen_Twin
17,Digital_Twin_of_the_Person
18,Multiexperience
19,Responsible_AI
20,AI_Augmented_Development
21,Composable_Enterprise
22,Data_Fabric
23,Embedded_AI
24,Secure_Access_Service_Edge_(SASE)
25,Social_Distancing_Technologies
26,Explainable_AI
27,Carbon-Based_Transistors
28,Bring_Your_Own_Identity
29,Ontologies_and_Graphs
